50
1000 1000
572 665 1
482 640 1
264 594 1
349 566 1
276 660 1
745 422 1
434 622 1
446 433 1
668 506 1
405 635 1
486 320 1
554 549 1
392 491 1
459 528 1
426 579 1
728 359 1
644 465 1
382 323 1
268 352 1
324 512 1
277 426 1
254 685 1
483 532 1
678 414 1
546 590 1
716 640 1
542 400 1
634 596 1
497 696 1
417 300 1
290 605 1
321 520 1
543 290 1
599 269 1
467 679 1
583 421 1
729 723 1
465 590 1
614 585 1
446 327 1
734 616 1
479 606 1
656 278 1
537 355 1
604 519 1
746 596 1
439 281 1
339 405 1
273 526 1
625 568 1
