52
3500 3500
365 185 1
378 200 1
410 165 1
425 148 1
425 296 1
439 116 1
464 1006 1
520 205 1
520 350 1
540 530 1
549 1413 1
549 1882 1
553 496 1
555 755 1
555 496 1
555 659 1
567 473 1
572 592 1
572 975 1
572 1175 1
572 1575 1
572 1390 1
572 1490 1
572 1590 1
572 1690 1
572 1890 1
610 625 1
660 490 1
690 447 1
949 445 1
949 478 1
970 463 1
730 300 1
269 717 1
463 369 1
642 464 1
453 329 1
455 667 1
506 482 1
560 362 1
483 260 1
693 345 1
381 510 1
456 586 1
457 453 1
707 658 1
639 650 1
691 359 1
434 700 1
576 291 1
728 739 1
545 742 1
