49
2222 2726
515 1009 1
727 871 1
492 745 1
235 446 1
572 1019 1
521 964 1
545 423 1
334 864 1
306 637 1
624 613 1
479 285 1
759 430 1
436 345 1
661 991 1
676 145 1
325 437 1
255 153 1
602 1039 1
141 1073 1
575 722 1
837 192 1
865 921 1
487 261 1
435 255 1
470 355 1
855 713 1
589 214 1
200 606 1
195 894 1
615 1000 1
567 753 1
852 810 1
792 157 1
148 610 1
333 569 1
274 829 1
548 905 1
289 1027 1
460 680 1
335 240 1
794 415 1
473 308 1
727 256 1
780 737 1
560 617 1
385 357 1
218 1036 1
871 1006 1
560 1059 1
