53
1856 2636
332 920 1
501 536 1
540 869 1
637 953 1
227 538 1
475 688 1
605 156 1
442 373 1
404 958 1
282 443 1
382 730 1
517 434 1
440 554 1
422 242 1
403 577 1
299 570 1
545 529 1
264 729 1
579 339 1
733 242 1
349 877 1
724 561 1
279 196 1
454 444 1
280 958 1
452 674 1
360 448 1
422 585 1
345 1000 1
462 247 1
649 242 1
96 913 1
212 829 1
307 971 1
677 919 1
123 320 1
593 446 1
119 239 1
406 1053 1
465 614 1
721 602 1
686 958 1
312 718 1
480 636 1
387 609 1
283 1044 1
167 224 1
304 523 1
664 762 1
602 463 1
420 686 1
283 446 1
96 147 1
