52
2711 2110
269 455 1
488 553 1
1059 437 1
181 138 1
234 273 1
688 595 1
402 255 1
211 361 1
951 168 1
178 784 1
760 333 1
419 379 1
1040 155 1
170 623 1
693 824 1
1083 398 1
337 360 1
869 490 1
750 190 1
346 435 1
490 375 1
167 248 1
268 467 1
508 409 1
807 826 1
883 821 1
809 709 1
1020 237 1
744 510 1
913 585 1
1058 773 1
983 661 1
501 183 1
469 639 1
269 675 1
681 386 1
667 436 1
774 460 1
750 678 1
287 610 1
912 306 1
857 216 1
867 651 1
447 675 1
581 328 1
994 112 1
383 156 1
978 383 1
238 411 1
455 493 1
1048 762 1
514 826 1
