58
2600 1612
1020 371 1
365 613 1
302 287 1
586 381 1
946 255 1
929 269 1
836 105 1
160 617 1
361 436 1
193 214 1
429 111 1
744 593 1
136 583 1
930 242 1
467 143 1
523 172 1
380 84 1
862 521 1
725 216 1
878 617 1
560 92 1
961 247 1
388 310 1
1034 419 1
520 491 1
1011 259 1
898 159 1
911 172 1
596 249 1
638 570 1
604 171 1
322 99 1
822 592 1
328 150 1
341 81 1
910 405 1
1039 280 1
632 105 1
808 439 1
800 507 1
1014 471 1
463 82 1
867 138 1
173 506 1
551 560 1
846 305 1
380 152 1
471 419 1
513 226 1
482 246 1
332 505 1
870 527 1
211 349 1
414 98 1
207 621 1
213 602 1
241 540 1
500 567 1
