54
1674 2090
185 516 1
660 263 1
640 261 1
400 112 1
354 434 1
524 553 1
509 179 1
113 786 1
521 586 1
308 787 1
225 180 1
526 137 1
658 741 1
312 591 1
535 780 1
382 702 1
109 816 1
523 770 1
132 683 1
197 571 1
594 605 1
101 105 1
414 156 1
575 432 1
426 237 1
379 207 1
288 763 1
523 366 1
441 628 1
255 110 1
339 695 1
456 309 1
554 285 1
360 399 1
565 351 1
508 506 1
423 151 1
205 729 1
446 602 1
612 507 1
103 405 1
599 290 1
194 316 1
567 354 1
124 186 1
205 458 1
233 482 1
114 309 1
387 247 1
299 128 1
109 269 1
181 576 1
244 486 1
160 565 1
