51
2097 1713
738 495 1
126 102 1
117 273 1
818 163 1
530 585 1
654 160 1
491 632 1
228 526 1
653 429 1
266 239 1
368 269 1
429 372 1
198 548 1
399 212 1
116 181 1
335 359 1
737 182 1
676 194 1
238 423 1
579 526 1
172 369 1
105 615 1
370 185 1
307 364 1
537 419 1
468 495 1
470 264 1
569 91 1
377 387 1
179 519 1
541 142 1
375 127 1
353 550 1
611 112 1
362 460 1
824 571 1
758 282 1
686 516 1
673 94 1
424 676 1
511 528 1
264 662 1
704 427 1
691 119 1
551 279 1
611 245 1
832 627 1
732 284 1
625 250 1
443 402 1
105 122 1
